day,mean_nav,p5_nav,p95_nav
0,583.6112999999923,583.6113,583.6113
1,583.8233157588602,575.1541465712804,592.9469881825374
2,583.8621058789623,571.5727503818316,596.450412481626
3,584.0136760492675,568.7331498729651,599.2607879316691
4,583.93592225212,567.236070238582,601.5943742802531
5,584.1651764406005,565.2918720526322,603.971033029331
6,584.3326545432402,563.2344336982814,606.197149701476
7,584.3422121024666,561.2042976022542,607.6148983282794
8,584.572977934882,558.8070502020148,608.6846556348077
9,584.5698425560621,557.6640887491553,611.4714353254457
10,584.6199850278698,557.4152612340564,612.7251406519904
11,585.0645238257899,556.2250845051735,615.1018038716745
12,585.1618114923581,554.7663697745766,617.5785525873335
13,585.1749958140218,554.134605872933,618.6983585767475
14,585.0038434610399,552.713736337822,620.9376823498113
15,585.0796182554487,551.7501982502818,622.2490777045757
16,585.0785241911607,550.2148387024849,623.1799162864909
17,585.0130124827633,548.6456221318164,625.5321587058442
18,584.9466177506602,548.7071004673138,624.2826193577939
19,585.1947069891182,547.7458984814826,625.8428782744165
20,585.4903505492248,547.7262549035956,629.1177281235402
21,585.4956074793574,546.876469782048,629.1666796700137
22,585.7387140709684,544.4702470340821,628.171485444835
23,585.7028319596321,545.4937083282308,627.7569457809278
24,585.8208363139336,543.8211004534095,631.7366449381522
25,585.8571344341271,544.294594051009,633.0063535607944
26,585.7812697372599,543.5213086779311,633.8783328461917
27,586.0416994109248,543.349829705234,634.804734561941
28,586.0547804652891,541.951634686218,636.0507512003585
29,585.7119727075021,539.1094965725229,634.6929716675596
30,585.6657901483503,539.1729560308466,635.5871568336729
31,585.7019130717734,537.7465512167823,635.2832913872919
32,585.5874266500762,538.3556597087559,635.8575157032078
33,585.6648667204911,536.3502834468501,637.0403529023172
34,585.74383805612,536.7425999921932,637.9519428814265
35,585.6294653355656,536.6176286565487,640.7082278176329
36,585.8005963826771,535.9313941522911,639.9875682203887
37,585.8064333511244,535.969839247238,641.2098257602569
38,586.051966732771,534.7390368108727,641.7042505609319
39,586.2978015953387,534.9542838616994,642.4554814709956
40,586.3524185409483,534.1938191518349,645.420810947388
41,586.2478136711452,533.3244971435486,645.759439680218
42,586.4668225706184,533.1702819933878,645.872740590536
43,586.5732325423146,532.5476086161935,646.1674126583625
44,586.8873707764001,532.2412474294733,647.5497993933037
45,587.2410382085944,531.0851501161039,649.6581417363193
46,587.2048516746145,531.6481036557828,650.9069107799895
47,587.3669353800782,530.6517261553845,651.7289674392956
48,587.6573251386708,530.6077852148534,653.0948273046997
49,587.4912061906726,528.9475282247564,653.7310342002144
50,587.2829249466017,529.681265401514,653.866776815526
51,587.467675937466,527.3908897688849,651.9409037560114
52,587.7510600744824,527.8738267265761,654.7635321641366
53,587.7390933287799,526.4706333288656,655.5150384397768
54,587.5818917498655,527.4327318193382,657.6735608807063
55,587.8712775869155,528.072762001932,657.3755973249184
56,587.840280391713,524.7866644212509,660.235068522256
57,588.1531627201729,525.5372990943229,660.0970207031206
58,588.0904355413327,523.8332278403803,658.6945737988711
59,588.2665336210721,525.2735749635515,659.2797531922533
60,588.4440487450499,525.9916228185641,658.9837724183238
61,588.7171070897234,524.468889654745,660.4927421892412
62,588.8093165297422,523.4858230300014,662.489238295339
63,589.0196743365095,523.870566547384,662.9479626994618
64,589.1115684263281,521.7629720157985,665.0147937722004
65,589.0189688398406,521.8500122296821,665.5745351069853
66,589.0671905709667,522.1938247188506,666.0080073608389
67,589.5241887721044,521.4196164108636,665.6549952313596
68,589.6798147099264,520.5681778108295,667.0326306337125
69,589.5735718399991,518.7799979358219,666.9097342019895
70,589.543216731594,518.5315168370097,668.5067605905239
71,589.7753313465349,517.5523879298132,669.8912612089149
72,589.8480491554164,516.8817719407649,670.6544681129282
73,590.0563584509094,514.6267124615134,670.791803631541
74,590.0090280891131,516.7801039504881,671.9416443128307
75,590.4265808697708,515.7245173978224,673.3011710032039
76,590.3660038943657,515.4969323025189,676.3270795368909
77,590.4429174241325,513.2767642907012,675.5924879246892
78,590.4512581738992,515.2785268058913,675.4656884594623
79,590.6702048341147,516.2078338748674,677.5508045706177
80,590.5920488455287,515.4908786243352,678.9180871946784
81,590.8108423764437,515.8677778361581,676.9629350554766
82,590.9837983581018,515.9225196158721,677.4912031991813
83,591.3101970156005,516.8572862840242,677.2064315399701
84,591.3531131211394,515.5712864706602,676.4147261075946
85,591.4111374572051,512.6820144557871,676.6987775219845
86,591.727275661697,513.8761529662098,677.3780412553269
87,591.8185089977168,514.0966907572187,676.44105932326
88,591.9943226005614,512.676853535945,678.4732179647955
89,592.1185403347527,512.2738995277118,680.1662784849966
90,591.9120316149889,511.32422608122727,681.7221839432715
91,591.8715486786004,511.6797241196772,681.2538793720659
92,591.9951543950781,510.0450407023754,680.8554986528062
93,592.2831169185308,509.73091179505184,683.24178983586
94,592.5411961901553,511.64347321049894,684.8279879890468
95,592.7338045752238,507.6069413683182,685.5408016995985
96,592.9844705535328,508.6318384309181,687.0163712607039
97,593.0842163343045,507.55123016068893,687.4151708145506
98,593.3293110409825,507.45098588437276,689.5665244685053
99,593.5944191396181,507.5939342795336,691.6620009240725
100,593.5602989525487,506.3543328192037,691.8839107205736
101,593.5162396106106,507.8491387862651,691.4596229645481
102,593.6757732783386,506.14546070650374,691.7141779846996
103,593.65376709604,505.75071951321223,692.0035813777893
104,593.7699060337768,504.57597162202103,692.7626628694413
105,594.214414352346,503.8226569618009,695.4924995287776
106,594.266143292251,504.91933819967574,697.1693202035917
